user_id,session,date,total_clicks,item_clicks,multi_channel,avg_time_in_one_click,total_time_in_a_session,avg_price,purchase,num_transaction,discount,purchase_discount,new,weekday,weekend,year,week,month
000549077743D83B,1,5-Apr-15,1,1,0,60,60,66,0,0,1,0,0,1,1,2015,15,4
00056F487DF8E347,2,22-Nov-16,3,3,0,299.3333333,898,90.26666667,1,1,0,0,0,3,0,2016,48,11
00056F487DF8E347,3,20-Nov-16,3,3,0,60,180,159,0,0,1,0,0,1,1,2016,48,11
000C7FD974074A88,4,20-May-15,2,2,0,60,120,,0,0,0,0,1,4,0,2015,21,5
0017C5CA0272763F,5,2-Nov-16,1,1,0,124,124,129,0,0,1,0,0,4,0,2016,45,11
001BF25EB8094642,6,30-Nov-15,2,2,0,92.5,185,13,0,0,1,0,0,2,0,2015,49,11
001BF25EB8094642,7,7-Oct-15,1,1,0,60,60,53.9,0,0,1,0,0,4,0,2015,41,10
001BF25EB8094642,8,21-Sep-15,1,1,0,60,60,53.9,0,0,1,0,0,2,0,2015,39,9
001BF25EB8094642,9,9-Jul-15,2,2,0,37.5,75,53.9,0,0,1,0,1,5,0,2015,28,7
001BF25EB8094642,10,3-Jul-15,2,2,0,60,120,49,0,0,1,0,1,6,0,2015,27,7
002275B1CA67BDA1,11,12-Nov-15,1,1,0,60,60,27,0,0,1,0,0,5,0,2015,46,11
002275B1CA67BDA1,12,9-Nov-15,1,1,0,108,108,34.9,0,0,1,0,0,2,0,2015,46,11
002275B1CA67BDA1,13,6-Nov-15,1,1,0,66,66,19,0,0,1,0,0,6,0,2015,45,11
002275B1CA67BDA1,14,23-Jun-15,1,1,0,120,120,15,1,1,0,0,0,3,0,2015,26,6
003719B1867CBCE1,15,11-Nov-16,1,1,0,60,60,95,0,0,0,0,0,6,0,2016,46,11
00394AD3B8626EFC,16,10-Nov-16,3,3,0,458.3333333,1375,142.5,0,0,1,0,0,5,0,2016,46,11
00394AD3B8626EFC,17,8-Nov-16,6,6,0,150.5,903,126.5,0,0,1,0,0,3,0,2016,46,11
004167BEDE6E57F6,18,8-Nov-16,1,1,0,120,120,86.9,1,1,0,0,1,3,0,2016,46,11
0043BF3B3DDE01BC,19,5-Dec-16,1,1,0,60,60,49,0,0,1,0,0,2,0,2016,50,12
0043BF3B3DDE01BC,20,9-Nov-16,1,1,0,60,60,8,1,1,0,0,0,4,0,2016,46,11
0043BF3B3DDE01BC,21,4-Nov-16,2,2,0,60,120,109,0,0,0,0,0,6,0,2016,45,11
0043BF3B3DDE01BC,22,11-Oct-16,1,1,0,60,60,49,0,0,0,0,0,3,0,2016,42,10
0043BF3B3DDE01BC,23,10-Oct-16,1,1,0,60,60,28.33,0,0,0,0,0,2,0,2016,42,10
0043BF3B3DDE01BC,24,3-Oct-16,1,1,0,60,60,,0,0,0,0,0,2,0,2016,41,10
0043BF3B3DDE01BC,25,29-Sep-16,3,3,0,79.33333333,238,39.9,1,1,0,0,0,5,0,2016,40,9
0043BF3B3DDE01BC,26,20-Sep-16,5,5,1,90.6,453,35.94,0,0,0,0,0,3,0,2016,39,9
0043BF3B3DDE01BC,27,21-Aug-16,1,1,0,61,61,199,0,0,0,0,0,1,1,2016,35,8
0043BF3B3DDE01BC,28,23-Jun-16,2,2,0,228.5,457,102,0,0,1,0,0,5,0,2016,26,6
0043BF3B3DDE01BC,29,21-Jun-16,3,3,0,142.3333333,427,259,0,0,1,0,0,3,0,2016,26,6
0043BF3B3DDE01BC,30,18-Jun-16,2,2,0,49,98,0,1,2,0,0,0,7,1,2016,25,6
0043BF3B3DDE01BC,31,10-Jun-16,3,3,0,281.3333333,844,11.66666667,0,0,0,0,0,6,0,2016,24,6
0043BF3B3DDE01BC,32,3-Jun-16,1,1,0,60,60,63,0,0,1,0,0,6,0,2016,23,6
0043BF3B3DDE01BC,33,1-Jun-16,2,2,0,32,64,39.9,0,0,1,0,0,4,0,2016,23,6
0043BF3B3DDE01BC,34,29-May-16,1,1,0,60,60,20.8,0,0,1,0,0,1,1,2016,23,5
0043BF3B3DDE01BC,35,26-May-16,1,1,0,60,60,12,0,0,1,0,0,5,0,2016,22,5
0043BF3B3DDE01BC,36,13-May-16,2,1,0,120,240,38,1,2,0,0,0,6,0,2016,20,5
0043BF3B3DDE01BC,37,6-May-16,9,9,0,116.7777778,1051,43.35,0,0,0,0,0,6,0,2016,19,5
0043BF3B3DDE01BC,38,5-May-16,11,11,0,198.7272727,2186,35.42222222,0,0,1,0,0,5,0,2016,19,5
0043BF3B3DDE01BC,39,26-Apr-16,1,1,0,60,60,105,0,0,0,0,0,3,0,2016,18,4
0043BF3B3DDE01BC,40,4-Apr-16,1,1,0,60,60,29,0,0,0,0,0,2,0,2016,15,4
0043BF3B3DDE01BC,41,28-Mar-16,1,1,0,71,71,29,0,0,0,0,0,2,0,2016,14,3
0043BF3B3DDE01BC,42,20-Feb-16,1,1,0,60,60,21,0,0,1,0,0,7,1,2016,8,2
0043BF3B3DDE01BC,43,20-Dec-15,1,1,0,60,60,19,0,0,0,0,0,1,1,2015,52,12
